COD_DEPARTAMENTO,COD_MUNICIPIO,MUNICIPIO
13,657,SAN JUAN NEPOMUCENO
13,667,SAN MARTIN DE LOBA
13,670,SAN PABLO
13,673,SANTA CATALINA
13,683,SANTA ROSA
13,688,SANTA ROSA DEL SUR
13,744,SIMITÍ
13,760,SOPLAVIENTO
13,780,TALAIGUA NUEVO
13,810,TIQUISIO
13,836,TURBACO
13,838,TURBANÁ
13,873,VILLANUEVA
13,894,ZAMBRANO
15,1,TUNJA
15,22,ALMEIDA
15,47,AQUITANIA
15,51,ARCABUCO
15,87,BELÉN
15,90,BERBEO
15,92,BETÉITIVA
15,97,BOAVITA
15,104,BOYACÁ
15,106,BRICEÑO
15,109,BUENAVISTA
15,114,BUSBANZÁ
15,131,CALDAS
15,135,CAMPOHERMOSO
15,162,CERINZA
15,172,CHINAVITA
15,176,CHIQUINQUIRÁ
15,180,CHISCAS
15,183,CHITA
15,185,CHITARAQUE
15,187,CHIVATÁ
15,189,CIÉNEGA
15,204,CÓMBITA
15,212,COPER
15,215,CORRALES
15,218,COVARACHÍA
15,223,CUBARÁ
15,224,CUCAITA
15,226,CUÍTIVA
15,232,CHÍQUIZA
15,236,CHIVOR
15,238,DUITAMA
15,244,EL COCUY
15,248,EL ESPINO
15,272,FIRAVITOBA
15,276,FLORESTA
15,293,GACHANTIVÁ
15,296,GÁMEZA
15,299,GARAGOA
15,317,GUACAMAYAS
15,322,GUATEQUE
15,325,GUAYATÁ
15,332,GÜICÁN DE LA SIERRA
15,362,IZA
15,367,JENESANO
15,368,JERICÓ
15,377,LABRANZAGRANDE
15,380,LA CAPILLA
15,401,LA VICTORIA
15,403,LA UVITA
15,407,VILLA DE LEYVA
15,425,MACANAL
15,442,MARIPÍ
15,455,MIRAFLORES
15,464,MONGUA
15,466,MONGUÍ
15,469,MONIQUIRÁ
15,476,MOTAVITA
15,480,MUZO
15,491,NOBSA
15,494,NUEVO COLÓN
15,500,OICATÁ
15,507,OTANCHE
15,511,PACHAVITA
15,514,PÁEZ
15,516,PAIPA
15,518,PAJARITO
15,522,PANQUEBA
15,531,PAUNA
15,533,PAYA
15,537,PAZ DE RÍO
15,542,PESCA
15,550,PISBA
15,572,PUERTO BOYACÁ
15,580,QUÍPAMA
15,599,RAMIRIQUÍ
15,600,RÁQUIRA
15,621,RONDÓN
15,632,SABOYÁ
15,638,SÁCHICA
15,646,SAMACÁ
15,660,SAN EDUARDO
15,664,SAN JOSÉ DE PARE
15,667,SAN LUIS DE GACENO
15,673,SAN MATEO
15,676,SAN MIGUEL DE SEMA
15,681,SAN PABLO DE BORBUR
15,686,SANTANA
15,690,SANTA MARÍA
15,693,SANTA ROSA DE VITERBO
15,696,SANTA SOFÍA
15,720,SATIVANORTE
15,723,SATIVASUR
15,740,SIACHOQUE
15,753,SOATÁ
15,755,SOCOTÁ
15,757,SOCHA
15,759,SOGAMOSO
15,761,SOMONDOCO
15,762,SORA
15,763,SOTAQUIRÁ
15,764,SORACÁ
15,774,SUSACÓN
15,776,SUTAMARCHÁN
15,778,SUTATENZA
15,790,TASCO
15,798,TENZA
15,804,TIBANÁ
15,806,TIBASOSA
15,808,TINJACÁ
15,810,TIPACOQUE
15,814,TOCA
15,816,TOGÜÍ
15,820,TÓPAGA
15,822,TOTA
15,832,TUNUNGUÁ
15,835,TURMEQUÉ
15,837,TUTA
15,839,TUTAZÁ
15,842,ÚMBITA
15,861,VENTAQUEMADA
15,879,VIRACACHÁ
15,897,ZETAQUIRA
17,1,MANIZALES
17,13,AGUADAS
17,42,ANSERMA
17,50,ARANZAZU
17,88,BELALCÁZAR
17,174,CHINCHINÁ
17,272,FILADELFIA
17,380,LA DORADA
17,388,LA MERCED
17,433,MANZANARES
17,442,MARMATO
17,444,MARQUETALIA
17,446,MARULANDA
17,486,NEIRA
17,495,NORCASIA
17,513,PÁCORA
17,524,PALESTINA
17,541,PENSILVANIA
17,614,RIOSUCIO
17,616,RISARALDA
17,653,SALAMINA
17,662,SAMANÁ
17,665,SAN JOSÉ
17,777,SUPÍA
17,867,VICTORIA
17,873,VILLAMARÍA
17,877,VITERBO
18,1,FLORENCIA
18,29,ALBANIA
18,94,BELÉN DE LOS ANDAQUÍES
18,150,CARTAGENA DEL CHAIRÁ
18,205,CURILLO
18,247,EL DONCELLO
18,256,EL PAUJÍL
18,303,GETUCHA
18,410,LA MONTAÑITA
18,460,MILÁN
18,479,MORELIA
18,592,PUERTO RICO
18,610,SAN JOSÉ DEL FRAGUA
18,753,SAN VICENTE DEL CAGUÁN
18,756,SOLANO
18,765,SOLANO
18,767,SOLITA
18,785,SOLITA
18,860,VALPARAÍSO
19,1,POPAYÁN
19,22,ALMAGUER
19,50,ARGELIA
19,75,BALBOA
19,100,BOLÍVAR
19,110,BUENOS AIRES
19,130,CAJIBÍO
19,137,CALDONO
19,142,CALOTO
19,212,CORINTO
19,256,EL TAMBO
19,290,FLORENCIA
19,300,GUACHENÉ
19,318,GUAPI
19,355,INZÁ
19,364,JAMBALÓ
19,392,LA SIERRA
19,397,LA VEGA
19,418,LÓPEZ DE MICAY
19,450,MERCADERES
19,455,MIRANDA
19,473,MORALES
19,513,PADILLA
19,517,PÁEZ
19,532,PATÍA
19,533,PIAMONTE
19,548,PIENDAMÓ - TUNÍA
19,573,PUERTO TEJADA
19,585,PURACÉ
19,622,ROSAS
19,693,SAN SEBASTIÁN
19,698,SANTANDER DE QUILICHAO
19,701,SANTA ROSA
19,743,SILVIA
19,760,SOTARÁ PAISPAMBA
19,780,SUÁREZ
19,785,SUCRE
19,807,TIMBÍO
19,809,TIMBIQUÍ
19,821,TORIBÍO
19,824,TOTORÓ
19,845,VILLA RICA
20,1,VALLEDUPAR
20,11,AGUACHICA
20,13,AGUSTÍN CODAZZI
20,32,ASTREA
20,45,BECERRIL
20,60,BOSCONIA
20,175,CHIMICHAGUA
20,178,CHIRIGUANÁ
20,228,CURUMANÍ
20,238,EL COPEY
20,250,EL PASO
20,295,GAMARRA
20,310,GONZÁLEZ
20,383,LA GLORIA
20,400,LA JAGUA DE IBIRICO
20,443,MANAURE BALCÓN DEL CESAR
20,517,PAILITAS
20,550,PELAYA
20,570,PUEBLO BELLO
20,614,RÍO DE ORO
20,621,LA PAZ
20,710,SAN ALBERTO
20,750,SAN DIEGO
20,770,SAN MARTÍN
20,787,TAMALAMEQUE
23,1,MONTERÍA
23,68,AYAPEL
23,79,BUENAVISTA
23,90,CANALETE
23,162,CERETÉ
23,168,CHIMÁ
23,182,CHINÚ
23,189,CIÉNAGA DE ORO
23,300,COTORRA
23,350,LA APARTADA
23,417,LORICA
23,419,LOS CÓRDOBAS
23,464,MOMIL
23,466,MONTELÍBANO
23,500,MOÑITOS
23,555,PLANETA RICA
23,570,PUEBLO NUEVO
23,574,PUERTO ESCONDIDO
23,580,PUERTO LIBERTADOR
23,586,PURÍSIMA DE LA CONCEPCIÓN
23,660,SAHAGÚN
23,670,SAN ANDRÉS DE SOTAVENTO
23,672,SAN ANTERO
23,675,SAN BERNARDO DEL VIENTO
23,678,SAN CARLOS
23,686,SAN PELAYO
23,807,TIERRALTA
23,815,TUCHÍN
23,855,VALENCIA
25,1,AGUA DE DIOS
25,19,ALBÁN
25,35,ANAPOIMA
25,40,ANOLAIMA
25,53,ARBELÁEZ
25,86,BELTRÁN
25,95,BITUIMA
25,99,BOJACÁ
25,120,CABRERA
25,123,CACHIPAY
25,126,CAJICÁ
25,148,CAPARRAPÍ
25,151,CÁQUEZA
25,154,CARMEN DE CARUPA
25,168,CHAGUANÍ
25,175,CHÍA
25,178,CHIPAQUE
25,181,CHOACHÍ
25,183,CHOCONTÁ
25,200,COGUA
25,214,COTA
25,224,CUCUNUBÁ
25,245,EL COLEGIO
25,258,EL PEÑÓN
25,260,EL ROSAL
25,269,FACATATIVÁ
25,279,FÓMEQUE
25,281,FOSCA
25,286,FUNZA
25,288,FÚQUENE
25,290,FUSAGASUGÁ
25,293,GACHALÁ
25,295,GACHANCIPÁ
25,297,GACHETÁ
25,299,GAMA
25,307,GIRARDOT
25,312,GRANADA
25,317,GUACHETÁ
25,320,GUADUAS
25,322,GUASCA
25,324,GUATAQUÍ
25,326,GUATAVITA
25,328,GUAYABAL DE SÍQUIMA
25,335,GUAYABETAL
25,339,GUTIÉRREZ
25,368,JERUSALÉN
25,372,JUNÍN
25,377,LA CALERA
25,386,LA MESA
25,394,LA PALMA
25,398,LA PEÑA
25,402,LA VEGA
25,407,LENGUAZAQUE
25,426,MACHETÁ
25,430,MADRID
25,436,MANTA
25,438,MEDINA
25,473,MOSQUERA
25,483,NARIÑO
25,486,NEMOCÓN
25,488,NILO
25,489,NIMAIMA
25,491,NOCAIMA
25,506,VENECIA
25,513,PACHO
25,518,PAIME
25,524,PANDI
25,530,PARATEBUENO
25,535,PASCA
25,572,PUERTO SALGAR
25,580,PULÍ
25,592,QUEBRADANEGRA
25,594,QUETAME
25,596,QUIPILE
25,599,APULO
25,612,RICAURTE
25,645,SAN ANTONIO DEL TEQUENDAMA
25,649,SAN BERNARDO
25,653,SAN CAYETANO
25,658,SAN FRANCISCO
25,662,SAN JUAN DE RIOSECO
25,718,SASAIMA
25,736,SESQUILÉ
25,740,SIBATÉ
25,743,SILVANIA
25,745,SIMIJACA
25,754,SOACHA
25,758,SOPÓ
25,769,SUBACHOQUE
25,772,SUESCA
25,777,SUPATÁ
25,779,SUSA
25,781,SUTATAUSA
25,785,TABIO
25,793,TAUSA
25,797,TENA
25,799,TENJO
25,805,TIBACUY
25,807,TIBIRITA
25,815,TOCAIMA
25,817,TOCANCIPÁ
25,823,TOPAIPÍ
25,839,UBALÁ
25,841,UBAQUE
25,843,VILLA DE SAN DIEGO DE UBATÉ
25,845,UNE
25,851,ÚTICA
25,862,VERGARA
25,867,VIANÍ
25,871,VILLAGÓMEZ
25,873,VILLAPINZÓN
25,875,VILLETA
25,878,VIOTÁ
25,885,YACOPÍ
25,898,ZIPACÓN
25,899,ZIPAQUIRÁ
27,1,QUIBDÓ
27,6,ACANDÍ
27,25,ALTO BAUDÓ
27,50,ATRATO
27,73,BAGADÓ
27,75,BAHÍA SOLANO
27,77,BAJO BAUDÓ
27,86,BELÉN DE BAJIRA
27,99,BOJAYÁ
27,135,EL CANTÓN DEL SAN PABLO
27,150,CARMEN DEL DARIEN
27,160,CÉRTEGUI
27,205,CONDOTO
27,245,EL CARMEN DE ATRATO
27,250,EL LITORAL DEL SAN JUAN
27,361,ISTMINA
27,372,JURADÓ
27,413,LLORÓ
27,425,MEDIO ATRATO
27,430,MEDIO BAUDÓ
27,450,MEDIO SAN JUAN
27,491,NÓVITA
27,495,NUQUÍ
27,580,RÍO IRÓ
27,600,RÍO QUITO
27,615,RIOSUCIO
27,660,SAN JOSÉ DEL PALMAR
27,745,SIPÍ
27,787,TADÓ
27,800,UNGUÍA
27,810,UNIÓN PANAMERICANA
41,1,NEIVA
41,6,ACEVEDO
41,13,AGRADO
41,16,AIPE
41,20,ALGECIRAS
41,26,ALTAMIRA
41,78,BARAYA
41,132,CAMPOALEGRE
41,206,COLOMBIA
41,244,ELÍAS
41,298,GARZÓN
41,306,GIGANTE
41,319,GUADALUPE
41,349,HOBO
41,357,ÍQUIRA
41,359,ISNOS
41,378,LA ARGENTINA
41,396,LA PLATA
41,483,NÁTAGA
41,503,OPORAPA
41,518,PAICOL
41,524,PALERMO
41,530,PALESTINA
41,548,PITAL
41,551,PITALITO
41,615,RIVERA
41,660,SALADOBLANCO
41,668,SAN AGUSTÍN
41,676,SANTA MARÍA
41,770,SUAZA
41,791,TARQUI
41,797,TESALIA
41,799,TELLO
41,801,TERUEL
41,807,TIMANÁ
41,872,VILLAVIEJA
41,885,YAGUARÁ
44,1,RIOHACHA
44,35,ALBANIA
44,78,BARRANCAS
44,90,DIBULLA
44,98,DISTRACCIÓN
44,110,EL MOLINO
44,279,FONSECA
44,378,HATONUEVO
44,420,LA JAGUA DEL PILAR
44,430,MAICAO
44,560,MANAURE
44,650,SAN JUAN DEL CESAR
44,847,URIBIA
44,855,URUMITA
44,874,VILLANUEVA
47,1,SANTA MARTA
47,3,ALGARROBO
47,30,ALGARROBO
47,53,ARACATACA
47,58,ARIGUANÍ
47,161,CERRO SAN ANTONIO
47,170,CHIBOLO
47,189,CIÉNAGA
47,205,CONCORDIA
47,245,EL BANCO
47,258,EL PIÑÓN
47,268,EL RETÉN
47,288,FUNDACIÓN
47,318,GUAMAL
47,460,NUEVA GRANADA
47,541,PEDRAZA
47,545,PIJIÑO DEL CARMEN
47,551,PIVIJAY
47,555,PLATO
47,570,PUEBLOVIEJO
47,605,REMOLINO
47,660,SABANAS DE SAN ÁNGEL
47,675,SALAMINA
47,692,SAN SEBASTIÁN DE BUENAVISTA
47,703,SAN ZENÓN
47,707,SANTA ANA
47,745,SITIONUEVO
47,798,TENERIFE
47,960,ZAPAYÁN
47,980,ZONA BANANERA
50,1,VILLAVICENCIO
50,6,ACACÍAS
50,110,BARRANCA DE UPÍA
50,124,CABUYARO
50,150,CASTILLA LA NUEVA
50,223,CUBARRAL
50,226,CUMARAL
50,245,EL CALVARIO
50,251,EL CASTILLO
50,270,EL DORADO
50,287,FUENTE DE ORO
50,313,GRANADA
50,318,GUAMAL
50,325,MAPIRIPÁN
50,330,MESETAS
50,350,LA MACARENA
50,368,PUERTO GAITAN
50,370,URIBE
50,400,LEJANÍAS
50,450,PUERTO CONCORDIA
50,568,PUERTO GAITÁN
50,573,PUERTO LÓPEZ
50,577,PUERTO LLERAS
50,590,PUERTO RICO
50,606,RESTREPO
50,680,SAN CARLOS DE GUAROA
50,683,SAN JUAN DE ARAMA
50,686,SAN JUANITO
50,689,SAN MARTÍN
50,711,VISTAHERMOSA
52,1,PASTO
52,19,ALBÁN
52,22,ALDANA
52,36,ANCUYA
52,51,ARBOLEDA
52,79,BARBACOAS
52,83,BELÉN
52,110,BUESACO
52,203,COLÓN
52,207,CONSACÁ
52,210,CONTADERO
52,215,CÓRDOBA
52,224,CUASPUD
52,227,CUMBAL
52,233,CUMBITARA
52,240,CHACHAGÜÍ
52,250,EL CHARCO
52,254,EL PEÑOL
52,256,EL ROSARIO
52,258,EL TABLÓN DE GÓMEZ
52,260,EL TAMBO
52,287,FUNES
52,317,GUACHUCAL
52,320,GUAITARILLA
52,323,GUALMATÁN
52,352,ILES
52,354,IMUÉS
52,356,IPIALES
52,378,LA CRUZ
52,381,LA FLORIDA
52,385,LA LLANADA
52,390,LA TOLA
52,399,LA UNIÓN
52,405,LEIVA
52,411,LINARES
52,418,LOS ANDES
52,427,MAGÜÍ
52,435,MALLAMA
52,473,MOSQUERA
52,480,NARIÑO
52,490,OLAYA HERRERA
52,506,OSPINA
52,520,FRANCISCO PIZARRO
52,540,POLICARPA
52,560,POTOSÍ
52,565,PROVIDENCIA
52,573,PUERRES
52,585,PUPIALES
52,612,RICAURTE
52,621,ROBERTO PAYÁN
52,678,SAMANIEGO
52,683,SANDONÁ
52,685,SAN BERNARDO
52,687,SAN LORENZO
52,693,SAN PABLO
52,694,SAN PEDRO DE CARTAGO
52,696,SANTA BÁRBARA
52,699,SANTACRUZ
52,720,SAPUYES
52,786,TAMINANGO
52,788,TANGUA
52,835,SAN ANDRÉS DE TUMACO
52,838,TÚQUERRES
52,885,YACUANQUER
54,1,SAN JOSÉ DE CÚCUTA
54,3,ÁBREGO
54,51,ARBOLEDAS
54,99,BOCHALEMA
54,109,BUCARASICA
54,125,CÁCOTA
54,128,CÁCHIRA
54,172,CHINÁCOTA
54,174,CHITAGÁ
54,206,CONVENCIÓN
54,223,CUCUTILLA
54,239,DURANIA
54,245,EL CARMEN
54,250,EL TARRA
54,261,EL ZULIA
54,313,GRAMALOTE
54,344,HACARÍ
54,347,HERRÁN
54,377,LABATECA
54,385,LA ESPERANZA
54,398,LA PLAYA
54,405,LOS PATIOS
54,418,LOURDES
54,480,MUTISCUA
54,498,OCAÑA
54,518,PAMPLONA
54,520,PAMPLONITA
54,553,PUERTO SANTANDER
54,599,RAGONVALIA
54,660,SALAZAR
54,670,SAN CALIXTO
54,673,SAN CAYETANO
54,680,SANTIAGO
54,720,SARDINATA
54,743,SILOS
54,800,TEORAMA
54,810,TIBÚ
54,820,TOLEDO
54,871,VILLA CARO
54,874,VILLA DEL ROSARIO
63,1,ARMENIA
63,111,BUENAVISTA
63,130,CALARCÁ
63,190,CIRCASIA
63,212,CÓRDOBA
63,272,FILANDIA
63,302,GÉNOVA
63,401,LA TEBAIDA
63,470,MONTENEGRO
63,548,PIJAO
63,594,QUIMBAYA
63,690,SALENTO
66,1,PEREIRA
66,45,APÍA
66,75,BALBOA
66,88,BELÉN DE UMBRÍA
66,170,DOSQUEBRADAS
66,318,GUÁTICA
66,383,LA CELIA
66,400,LA VIRGINIA
66,440,MARSELLA
66,456,MISTRATÓ
66,572,PUEBLO RICO
66,594,QUINCHÍA
66,682,SANTA ROSA DE CABAL
66,687,SANTUARIO
68,1,BUCARAMANGA
68,13,AGUADA
68,20,ALBANIA
68,51,ARATOCA
68,77,BARBOSA
68,79,BARICHARA
68,81,BARRANCABERMEJA
68,92,BETULIA
68,101,BOLÍVAR
68,121,CABRERA
68,132,CALIFORNIA
68,147,CAPITANEJO
68,152,CARCASÍ
68,160,CEPITÁ
68,162,CERRITO
68,167,CHARALÁ
68,169,CHARTA
68,176,CHIMA
68,179,CHIPATÁ
68,190,CIMITARRA
68,207,CONCEPCIÓN
68,209,CONFINES
68,211,CONTRATACIÓN
68,217,COROMORO
68,229,CURITÍ
68,235,EL CARMEN DE CHUCURÍ
68,245,EL GUACAMAYO
68,250,EL PEÑÓN
68,255,EL PLAYÓN
68,264,ENCINO
68,266,ENCISO
68,271,FLORIÁN
68,276,FLORIDABLANCA
68,296,GALÁN
68,298,GÁMBITA
68,307,GIRÓN
68,318,GUACA
68,320,GUADALUPE
68,322,GUAPOTÁ
68,324,GUAVATÁ
68,327,GÜEPSA
68,344,HATO
68,368,JESÚS MARÍA
68,370,JORDÁN
68,377,LA BELLEZA
68,385,LANDÁZURI
68,397,LA PAZ
68,406,LEBRIJA
68,418,LOS SANTOS
68,425,MACARAVITA
68,432,MÁLAGA
68,444,MATANZA
68,464,MOGOTES
68,468,MOLAGAVITA
68,498,OCAMONTE
68,500,OIBA
68,502,ONZAGA
68,522,PALMAR
68,524,PALMAS DEL SOCORRO
68,533,PÁRAMO
68,547,PIEDECUESTA
68,549,PINCHOTE
68,572,PUENTE NACIONAL
68,573,PUERTO PARRA
68,575,PUERTO WILCHES
68,615,RIONEGRO
68,655,SABANA DE TORRES
68,669,SAN ANDRÉS
68,673,SAN BENITO
68,679,SAN GIL
68,682,SAN JOAQUÍN
68,684,SAN JOSÉ DE MIRANDA
68,686,SAN MIGUEL
68,689,SAN VICENTE DE CHUCURÍ
68,705,SANTA BÁRBARA
68,720,SANTA HELENA DEL OPÓN
68,745,SIMACOTA
68,755,SOCORRO
68,770,SUAITA
68,773,SUCRE
68,780,SURATÁ
68,820,TONA
68,855,VALLE DE SAN JOSÉ
68,861,VÉLEZ
68,867,VETAS
68,872,VILLANUEVA
68,895,ZAPATOCA
70,1,SINCELEJO
70,110,BUENAVISTA
70,124,CAIMITO
70,204,COLOSÓ
70,215,COROZAL
70,221,COVEÑAS
70,230,CHALÁN
70,233,EL ROBLE
70,235,GALERAS
70,265,GUARANDA
70,400,LA UNIÓN
70,418,LOS PALMITOS
70,429,MAJAGUAL
70,473,MORROA
70,508,OVEJAS
70,523,PALMITO
70,670,SAMPUÉS
70,678,SAN BENITO ABAD
70,702,SAN JUAN DE BETULIA
70,708,SAN MARCOS
70,713,SAN ONOFRE
70,717,SAN PEDRO
70,742,SAN LUIS DE SINCÉ
70,771,SUCRE
70,820,SANTIAGO DE TOLÚ
70,823,SAN JOSÉ DE TOLUVIEJO
73,1,IBAGUÉ
73,24,ALPUJARRA
73,26,ALVARADO
73,30,AMBALEMA
73,43,ANZOÁTEGUI
73,55,ARMERO
73,67,ATACO
73,124,CAJAMARCA
73,148,CARMEN DE APICALÁ
73,152,CASABIANCA
73,168,CHAPARRAL
73,200,COELLO
73,217,COYAIMA
73,226,CUNDAY
73,236,DOLORES
73,268,ESPINAL
73,270,FALAN
73,275,FLANDES
73,283,FRESNO
73,319,GUAMO
73,347,HERVEO
73,349,HONDA
73,352,ICONONZO
73,408,LÉRIDA
73,411,LÍBANO
73,443,SAN SEBASTIÁN DE MARIQUITA
73,449,MELGAR
73,461,MURILLO
73,483,NATAGAIMA
73,504,ORTEGA
73,520,PALOCABILDO
73,547,PIEDRAS
73,555,PLANADAS
73,563,PRADO
73,585,PURIFICACIÓN
73,616,RIOBLANCO
73,622,RONCESVALLES
73,624,ROVIRA
73,671,SALDAÑA
73,675,SAN ANTONIO
73,678,SAN LUIS
73,686,SANTA ISABEL
73,770,SUÁREZ
73,854,VALLE DE SAN JUAN
73,861,VENADILLO
73,870,VILLAHERMOSA
73,873,VILLARRICA
76,1,CALI
76,20,ALCALÁ
76,36,ANDALUCÍA
76,41,ANSERMANUEVO
76,54,ARGELIA
76,100,BOLÍVAR
76,109,BUENAVENTURA
76,111,GUADALAJARA DE BUGA
76,113,BUGALAGRANDE
76,122,CAICEDONIA
76,126,CALIMA
76,130,CANDELARIA
76,147,CARTAGO
76,233,DAGUA
76,243,EL ÁGUILA
76,246,EL CAIRO
76,248,EL CERRITO
76,250,EL DOVIO
76,275,FLORIDA
76,306,GINEBRA
76,318,GUACARÍ
76,364,JAMUNDÍ
76,377,LA CUMBRE
76,400,LA UNIÓN
76,403,LA VICTORIA
76,497,OBANDO
76,520,PALMIRA
76,563,PRADERA
76,606,RESTREPO
76,616,RIOFRÍO
76,622,ROLDANILLO
76,670,SAN PEDRO
76,736,SEVILLA
76,823,TORO
76,828,TRUJILLO
76,834,TULUÁ
76,845,ULLOA
76,863,VERSALLES
76,869,VIJES
76,890,YOTOCO
76,892,YUMBO
76,895,ZARZAL
81,1,ARAUCA
81,65,ARAUQUITA
81,220,CRAVO NORTE
81,300,FORTUL
81,591,PUERTO RONDÓN
81,736,SARAVENA
81,794,TAME
85,1,YOPAL
85,10,AGUAZUL
85,15,CHÁMEZA
85,125,HATO COROZAL
85,136,LA SALINA
85,139,MANÍ
85,162,MONTERREY
85,225,NUNCHÍA
85,230,OROCUÉ
85,250,PAZ DE ARIPORO
85,263,PORE
85,279,RECETOR
85,300,SABANALARGA
85,315,SÁCAMA
85,325,SAN LUIS DE PALENQUE
85,400,TÁMARA
85,410,TAURAMENA
85,430,TRINIDAD
85,440,VILLANUEVA
86,1,MOCOA
86,219,COLÓN
86,320,ORITO
86,568,PUERTO ASÍS
86,569,PUERTO CAICEDO
86,571,PUERTO GUZMÁN
